# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²), Angle of Attack (°)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.778730
1.000000,-0.181210,3.394525,1510.602571,-1.534452,6.424261,86.552383,-8.837596,-0.021693,99.898028,0.279014
2.000000,-8.100063,7.913087,1646.572391,-13.719113,3.470204,184.575406,-12.547177,-3.214114,94.033902,0.238719
3.000000,-28.142070,9.632393,1875.454147,-26.051385,0.220576,270.792925,-11.492663,-2.993326,77.435740,0.084940
4.000000,-56.320306,9.199896,2156.222705,-28.205013,-0.444672,275.831115,1.653439,0.466595,-21.894218,0.059516
5.000000,-83.785255,8.993510,2421.588327,-26.792118,0.007397,255.287416,1.252774,0.430539,-19.533394,0.103659
6.000000,-109.957606,9.202272,2667.376231,-25.564395,0.409122,236.541048,1.117211,0.382936,-18.023021,0.134282
7.000000,-134.962029,9.798426,2895.138105,-24.449479,0.782990,219.218348,1.095186,0.382888,-16.625174,0.168531
8.000000,-158.891085,10.762689,3106.249185,-23.403098,1.152848,203.203781,0.998300,0.352351,-15.451872,0.207526
9.000000,-181.797636,12.093124,3301.893934,-22.412014,1.511773,188.242420,1.001812,0.359641,-14.508022,0.261636
10.000000,-203.717398,13.792105,3483.015145,-21.435961,1.883481,174.126595,0.973969,0.365070,-13.741195,0.321043
11.000000,-224.683844,15.859871,3650.380835,-20.510008,2.246149,160.710338,0.817282,0.300696,-13.127209,0.379592
12.000000,-244.776000,18.273343,3804.631717,-19.680806,2.578655,147.884404,0.751669,0.279815,-12.575200,0.422399
13.000000,-264.066907,21.009573,3946.319753,-18.917872,2.889576,135.568287,0.689601,0.290380,-12.100572,0.472350
14.000000,-282.632178,24.042912,4075.913852,-18.225627,3.171217,123.686224,0.654294,0.268353,-11.686649,0.528516
15.000000,-300.539673,27.348466,4193.816296,-17.599495,3.436188,112.175469,0.577676,0.245546,-11.353290,0.592680
16.000000,-317.852040,30.903680,4300.369317,-17.035665,3.672288,100.979435,0.533020,0.215251,-11.054318,0.664986
17.000000,-334.630171,34.686747,4395.866797,-16.525214,3.889132,90.059527,0.491160,0.215997,-10.789317,0.749791
18.000000,-350.924417,38.678573,4480.565152,-16.069777,4.088955,79.373784,0.432904,0.201852,-10.576477,0.843989
19.000000,-366.783710,42.860261,4554.681702,-15.655087,4.270865,68.891454,0.385572,0.185596,-10.391899,0.958149
20.000000,-382.250901,47.215126,4618.403435,-15.283347,4.434543,58.580778,0.351957,0.166875,-10.227480,1.110628
21.000000,-397.363299,51.727561,4671.892058,-14.945399,4.583506,48.419938,0.320101,0.141439,-10.089411,1.303801
22.000000,-412.155239,56.383146,4715.285267,-14.641311,4.722141,38.384536,0.296504,0.117576,-9.977122,1.559636
23.000000,-426.656057,61.166782,4748.700196,-14.366225,4.847752,28.461019,0.264645,0.123710,-9.880324,1.904173
24.000000,-440.893079,66.068458,4772.236575,-14.114677,4.952245,18.627414,0.227230,0.105186,-9.789679,2.334099
25.000000,-454.897365,71.074510,4785.978257,-13.894774,5.055922,8.864439,0.216402,0.083939,-9.736735,2.687393
26.000000,-468.691517,76.168362,4789.982936,-13.701543,5.132734,-0.848630,0.174015,0.086552,-9.699609,2.854090
27.000000,-482.302860,81.345465,4784.283774,-13.516269,5.218733,-10.550143,0.197900,0.072890,-9.700469,2.926648
28.000000,-492.653226,88.010535,4770.843945,-3.768350,9.683413,-13.788915,12.418834,5.693844,0.314570,5.848985
29.000000,-491.517741,99.939990,4756.904539,5.048922,13.719585,-14.312088,6.320693,2.886698,-1.057817,15.835031
30.000000,-483.777846,114.886558,4741.990360,10.047452,15.996672,-15.562399,3.985057,1.809266,-1.344473,27.010507
31.000000,-471.961135,131.684507,4725.762911,13.393057,17.509794,-16.874651,2.818247,1.268393,-1.241423,37.188843
32.000000,-457.290261,149.767320,4708.305296,15.830326,18.600591,-17.999628,2.104563,0.935359,-0.997804,45.470692
33.000000,-440.497758,168.793341,4689.851187,17.671479,19.412385,-18.864609,1.603283,0.700018,-0.735266,51.830842
34.000000,-422.091816,188.524088,4670.658740,19.077699,20.019542,-19.482574,1.225693,0.521998,-0.508974,56.598324
35.000000,-402.452976,208.780202,4650.952924,20.151591,20.469813,-19.900249,0.934470,0.384354,-0.335267,60.144881
36.000000,-381.874126,229.423276,4630.907704,20.968670,20.798618,-20.169703,0.709412,0.277843,-0.211154,62.781683
37.000000,-360.581568,250.346222,4610.648024,21.587762,21.033693,-20.335786,0.536427,0.195930,-0.126643,64.745496
38.000000,-338.749150,271.466725,4590.259236,22.055154,21.196931,-20.432625,0.404347,0.133383,-0.071018,66.211022
39.000000,-316.509802,292.721834,4569.797812,22.407063,21.305487,-20.484453,0.304063,0.085906,-0.035297,67.306641
40.000000,-293.964288,314.063846,4549.299911,22.671457,21.372619,-20.507614,0.228251,0.050032,-0.012807,68.126683
41.000000,-271.188944,335.456639,4528.788502,22.869795,21.408505,-20.512869,0.171108,0.023012,0.001147,68.740996
42.000000,-248.241305,356.873007,4508.277804,23.018399,21.420885,-20.507089,0.128124,0.002707,0.009688,69.201451
43.000000,-225.164729,378.292468,4487.776525,23.129641,21.415625,-20.494589,0.095827,-0.012531,0.014848,69.546767
44.000000,-201.991267,399.699899,4467.289663,23.212713,21.397083,-20.477931,0.071614,-0.023937,0.017852,69.805427
45.000000,-178.745765,421.083596,4446.820885,23.274742,21.368639,-20.459031,0.053451,-0.032475,0.019666,69.999417
46.000000,-155.446857,442.434795,4426.372338,23.321083,21.332829,-20.439042,0.039807,-0.038874,0.020880,70.145194
47.000000,-132.107870,463.747250,4405.944416,23.355584,21.291476,-20.418209,0.029574,-0.043656,0.021595,70.254560
48.000000,-108.738865,485.016263,4385.536995,23.381146,21.245954,-20.396487,0.021919,-0.047216,0.021762,70.336407
49.000000,-85.347729,506.238162,4365.151035,23.400042,21.197338,-20.374468,0.016185,-0.049865,0.021712,70.397750
50.000000,-61.940415,527.410189,4344.787580,23.413991,21.146446,-20.352804,0.011882,-0.051839,0.021817,70.443819
51.000000,-38.521085,548.530438,4324.446013,23.424194,21.093844,-20.331192,0.008655,-0.053302,0.021898,70.478382
52.000000,-15.092982,569.597442,4304.125601,23.431603,21.039976,-20.309263,0.006317,-0.054373,0.021736,70.503544
53.000000,8.341399,590.610081,4283.827269,23.436853,20.985175,-20.287600,0.004190,-0.055197,0.021702,70.525872
54.000000,31.780280,611.567570,4263.550470,23.440605,20.929700,-20.265951,0.002931,-0.055765,0.021592,70.539502
55.000000,55.219328,632.469043,4243.295441,23.435872,20.873031,-20.243935,-0.014969,-0.057799,0.022542,70.706466
56.000000,78.645611,653.312935,4223.062851,23.413828,20.814435,-20.221113,-0.028276,-0.059295,0.023019,70.830839
57.000000,102.043490,674.097524,4202.853322,23.380224,20.754551,-20.197973,-0.038480,-0.060420,0.023271,70.926407
58.000000,125.403145,694.821720,4182.667008,23.337785,20.693701,-20.174659,-0.046011,-0.061235,0.023347,70.997158
59.000000,148.716769,715.484681,4162.504022,23.288857,20.632158,-20.151314,-0.051666,-0.061830,0.023335,71.050481
60.000000,171.979069,736.085851,4142.364364,23.234981,20.570103,-20.128006,-0.055863,-0.062255,0.023272,71.090237
61.000000,195.185920,756.624811,4122.247980,23.177373,20.507677,-20.104773,-0.058957,-0.062551,0.023181,71.119713
62.000000,218.333453,777.101181,4102.154788,23.117179,20.445014,-20.081645,-0.061279,-0.062757,0.023083,71.141998
63.000000,241.419579,797.514780,4082.084684,23.055025,20.382188,-20.058626,-0.063011,-0.062894,0.022981,71.158776
64.000000,264.442797,817.865496,4062.037547,22.991369,20.319251,-20.035711,-0.064285,-0.062978,0.022874,71.171275
65.000000,287.401845,838.153248,4042.013258,22.926600,20.256249,-20.012897,-0.065214,-0.063022,0.022762,71.180544
66.000000,310.295731,858.377985,4022.011719,22.861026,20.193217,-19.990189,-0.065887,-0.063037,0.022649,71.187422
67.000000,333.123739,878.539686,4002.032831,22.794879,20.130182,-19.967591,-0.066372,-0.063029,0.022539,71.192529
68.000000,355.885332,898.638352,3982.076493,22.728335,20.067165,-19.945105,-0.066719,-0.063006,0.022434,71.196349
69.000000,378.580207,918.674012,3962.142595,22.661506,20.004177,-19.922728,-0.066962,-0.062972,0.022333,71.199182
70.000000,401.208156,938.646706,3942.231026,22.594474,19.941229,-19.900455,-0.067124,-0.062928,0.022233,71.201253
71.000000,423.769025,958.556474,3922.341682,22.527305,19.878327,-19.878279,-0.067223,-0.062877,0.022132,71.202736
72.000000,446.262696,978.403369,3902.474456,22.460054,19.815479,-19.856198,-0.067277,-0.062820,0.022030,71.203791
73.000000,468.689101,998.187456,3882.629235,22.392770,19.752688,-19.834215,-0.067301,-0.062762,0.021928,71.204566
74.000000,491.048216,1017.908794,3862.805925,22.325479,19.689958,-19.812331,-0.067301,-0.062700,0.021827,71.205111
75.000000,513.340057,1037.567436,3843.004449,22.258195,19.627291,-19.790546,-0.067274,-0.062634,0.021729,71.205385
76.000000,535.564644,1057.163443,3823.224717,22.190933,19.564688,-19.768862,-0.067235,-0.062567,0.021633,71.205552
77.000000,557.722003,1076.696883,3803.466623,22.123709,19.502150,-19.747275,-0.067214,-0.062512,0.021540,71.205936
78.000000,579.812162,1096.167817,3783.730076,22.056534,19.439678,-19.725784,-0.067171,-0.062450,0.021449,71.206081
79.000000,601.835157,1115.576300,3764.014991,21.989417,19.377275,-19.704386,-0.067032,-0.062346,0.021356,71.205177
80.000000,623.791052,1134.922408,3744.321262,21.922359,19.314936,-19.683077,-0.067196,-0.062381,0.021267,71.207619
81.000000,645.679910,1154.206206,3724.648798,21.855378,19.252672,-19.661859,-0.066376,-0.061972,0.021162,71.199211
82.000000,667.501846,1173.427795,3704.997479,21.788409,19.190450,-19.640732,-0.069235,-0.063225,0.021116,71.231336
83.000000,689.256971,1192.587281,3685.367172,21.721405,19.128250,-19.619698,-0.079021,-0.067601,0.021177,71.339728
84.000000,710.945271,1211.684672,3665.757839,21.654536,19.066148,-19.598757,-0.084151,-0.069878,0.021169,71.396856
85.000000,732.566727,1230.719973,3646.169447,21.587986,19.004225,-19.577910,-0.071948,-0.064340,0.020898,71.263118
86.000000,754.121170,1249.693131,3626.601935,21.520240,18.941799,-19.557131,-0.077544,-0.066828,0.020893,71.325369
87.000000,775.589403,1268.595553,3607.055461,21.404046,18.857558,-19.535611,-0.151307,-0.100058,0.022111,72.138619
88.000000,796.907903,1287.398626,3587.531061,21.223867,18.744497,-19.513037,-0.206389,-0.124863,0.022920,72.746691
89.000000,818.020960,1306.077263,3568.029590,20.996015,18.609973,-19.489931,-0.247477,-0.143355,0.023221,73.201232
90.000000,838.887732,1324.613083,3548.551353,20.732508,18.459409,-19.466773,-0.278050,-0.157103,0.023144,73.540527
91.000000,859.477178,1342.992126,3529.096151,20.442522,18.296944,-19.443813,-0.300774,-0.167310,0.022808,73.793829
92.000000,879.766308,1361.204067,3509.663652,20.132889,18.125659,-19.421221,-0.317638,-0.174875,0.022337,73.982930
93.000000,899.738027,1379.241234,3490.253501,19.808726,17.947861,-19.399116,-0.330136,-0.180471,0.021844,74.124142
94.000000,919.379951,1397.098085,3470.865249,19.473769,17.765236,-19.377513,-0.339362,-0.184592,0.021387,74.229408
95.000000,938.682874,1414.770505,3451.498371,19.130827,17.579048,-19.356345,-0.346137,-0.187609,0.020968,74.307733
96.000000,957.639914,1432.255432,3432.152406,18.782027,17.390257,-19.335538,-0.351084,-0.189802,0.020582,74.365951
97.000000,976.245869,1449.550555,3412.827008,18.429003,17.199598,-19.315053,-0.354684,-0.191389,0.020238,74.409312
98.000000,994.497101,1466.654272,3393.521961,18.072932,17.007602,-19.294899,-0.357282,-0.192525,0.019966,74.441592
99.000000,1012.391082,1483.565478,3374.237012,17.714665,16.814651,-19.275038,-0.359128,-0.193322,0.019761,74.465533
100.000000,1029.925984,1500.283383,3354.971877,17.354844,16.621033,-19.255400,-0.360410,-0.193866,0.019598,74.483227
101.000000,1047.100524,1516.807445,3335.726266,16.993954,16.426968,-19.235897,-0.361271,-0.194220,0.019435,74.496261
102.000000,1063.913831,1533.137302,3316.499993,16.632356,16.232616,-19.216495,-0.361817,-0.194433,0.019263,74.505817
103.000000,1080.365290,1549.272713,3297.292952,16.270338,16.038108,-19.197198,-0.362132,-0.194543,0.019090,74.512823
104.000000,1096.454565,1565.213557,3278.105102,15.908105,15.843536,-19.178043,-0.362279,-0.194576,0.018942,74.517937
105.000000,1112.181484,1580.959790,3258.936413,15.545815,15.648971,-19.159068,-0.362305,-0.194556,0.018847,74.521657
106.000000,1127.546086,1596.511461,3239.786771,15.183561,15.454454,-19.140255,-0.362236,-0.194493,0.018795,74.524293
107.000000,1142.548488,1611.868654,3220.656017,14.821412,15.260016,-19.121562,-0.362093,-0.194398,0.018765,74.526089
108.000000,1157.188858,1627.031478,3201.543940,14.459429,15.065683,-19.102915,-0.361895,-0.194277,0.018714,74.527265
109.000000,1171.467386,1642.000052,3182.450392,14.097659,14.871478,-19.084275,-0.361654,-0.194137,0.018622,74.527997
110.000000,1185.384287,1656.774500,3163.375394,13.736139,14.677417,-19.065694,-0.361384,-0.193985,0.018522,74.528395
111.000000,1198.939807,1671.354965,3144.318935,13.374900,14.483513,-19.047213,-0.361090,-0.193821,0.018435,74.528514
112.000000,1212.134237,1685.741608,3125.280923,13.013960,14.289774,-19.028818,-0.360794,-0.193658,0.018357,74.528592
113.000000,1224.967886,1699.934600,3106.261265,12.653335,14.096208,-19.010500,-0.360438,-0.193463,0.018279,74.527967
114.000000,1237.441049,1713.934103,3087.259892,12.293015,13.902809,-18.992255,-0.360286,-0.193382,0.018218,74.529718
115.000000,1249.554036,1727.740284,3068.276733,11.933046,13.709600,-18.974084,-0.359786,-0.193109,0.018134,74.527398
116.000000,1261.307231,1741.353352,3049.311705,11.573459,13.516599,-18.955988,-0.358567,-0.192441,0.017996,74.516728
117.000000,1272.701403,1754.773729,3030.364708,11.216922,13.325277,-18.938150,-0.343231,-0.183982,0.016906,74.341640
118.000000,1283.755084,1768.011635,3011.434614,10.899504,13.155536,-18.922513,-0.293163,-0.156359,0.014848,73.759690
119.000000,1294.514527,1781.092589,2992.519454,10.625763,13.009893,-18.907863,-0.256319,-0.136031,0.014664,73.330036
120.000000,1305.016755,1794.037017,2973.618976,10.383951,12.881865,-18.893007,-0.228859,-0.120882,0.015123,73.009382
121.000000,1315.289638,1806.860297,2954.733576,10.165940,12.766969,-18.877569,-0.208354,-0.109570,0.015710,72.769920
122.000000,1325.354108,1819.573973,2935.863855,9.965653,12.661849,-18.861521,-0.192994,-0.101097,0.016226,72.590700
123.000000,1335.225310,1832.186402,2917.010455,9.778687,12.564076,-18.845019,-0.181496,-0.094756,0.016653,72.456779
124.000000,1344.914735,1844.703920,2898.173815,9.601721,12.471819,-18.828182,-0.172885,-0.090008,0.016991,72.356749
125.000000,1354.430982,1857.131269,2879.354171,9.432277,12.383708,-18.811072,-0.166435,-0.086453,0.017229,72.282133
126.000000,1363.780873,1869.472208,2860.551729,9.268400,12.298664,-18.793757,-0.161574,-0.083775,0.017377,72.226211
127.000000,1372.969375,1881.729474,2841.766650,9.108677,12.215908,-18.776311,-0.157887,-0.081745,0.017457,72.184126
128.000000,1381.999858,1893.904923,2822.999050,8.952161,12.134918,-18.758805,-0.155099,-0.080211,0.017498,72.152627
129.000000,1390.874994,1906.000024,2804.248989,8.798113,12.055284,-18.741285,-0.152992,-0.079053,0.017518,72.129162
130.000000,1399.596974,1918.015982,2785.516485,8.645929,11.976675,-18.723776,-0.151391,-0.078175,0.017525,72.111660
131.000000,1408.167464,1929.953710,2766.801500,8.495165,11.898844,-18.706279,-0.150165,-0.077503,0.017513,72.098586
132.000000,1416.587748,1941.813913,2748.103996,8.345482,11.821605,-18.688799,-0.149215,-0.076984,0.017483,72.088781
133.000000,1424.858831,1953.597140,2729.423935,8.196629,11.744819,-18.671341,-0.148468,-0.076576,0.017435,72.081367
134.000000,1432.981434,1965.303785,2710.761287,8.048434,11.668391,-18.653921,-0.147873,-0.076253,0.017377,72.075759
135.000000,1440.956105,1976.934144,2692.116021,7.900777,11.592255,-18.636556,-0.147396,-0.075995,0.017316,72.071545
136.000000,1448.783300,1988.488465,2673.488101,7.753563,11.516358,-18.619255,-0.147009,-0.075786,0.017260,72.068384
137.000000,1456.463432,1999.966970,2654.877475,7.606711,11.440656,-18.602025,-0.146686,-0.075613,0.017209,72.065989
138.000000,1463.996874,2011.369859,2636.284064,7.460157,11.365114,-18.584857,-0.146415,-0.075468,0.017159,72.064193
139.000000,1471.383945,2022.697303,2617.707784,7.313851,11.289703,-18.567743,-0.146180,-0.075342,0.017106,72.062832
140.000000,1478.624831,2033.949402,2599.148581,7.167774,11.214414,-18.550681,-0.145959,-0.075227,0.017048,72.061637
141.000000,1485.719707,2045.126245,2580.606403,7.021909,11.139237,-18.533673,-0.145747,-0.075121,0.016984,72.060572
142.000000,1492.668788,2056.227948,2562.081190,6.876227,11.064157,-18.516720,-0.145609,-0.075040,0.016919,72.060309
143.000000,1499.472277,2067.254618,2543.572886,6.730710,10.989164,-18.499826,-0.145521,-0.074976,0.016855,72.060615
144.000000,1506.130322,2078.206330,2525.081450,6.585376,10.914262,-18.482998,-0.145224,-0.074855,0.016787,72.058649
145.000000,1512.643073,2089.083166,2506.606831,6.440133,10.839420,-18.466235,-0.145457,-0.074885,0.016738,72.062423
146.000000,1519.010733,2099.885223,2488.148946,6.295228,10.764708,-18.449541,-0.143976,-0.074430,0.016640,72.047627
